,Unnamed__0,Avg_min_between_sent_tnx,Avg_min_between_received_tnx,Time_Diff_between_first_and_last__Mins_,Sent_tnx,Received_Tnx,Number_of_Created_Contracts,Unique_Received_From_Addresses,Unique_Sent_To_Addresses,min_value_received,max_value_received_,avg_val_received,min_val_sent,max_val_sent,avg_val_sent,min_value_sent_to_contract,max_val_sent_to_contract,avg_value_sent_to_contract,total_transactions__including_tnx_to_create_contract,total_Ether_sent,total_ether_received,total_ether_sent_contracts,total_ether_balance,_Total_ERC20_tnxs,_ERC20_total_Ether_received,_ERC20_total_ether_sent,_ERC20_total_Ether_sent_contract,_ERC20_uniq_sent_addr,_ERC20_uniq_rec_addr,_ERC20_uniq_sent_addr_1,_ERC20_uniq_rec_contract_addr,_ERC20_avg_time_between_sent_tnx,_ERC20_avg_time_between_rec_tnx,_ERC20_avg_time_between_rec_2_tnx,_ERC20_avg_time_between_contract_tnx,_ERC20_min_val_rec,_ERC20_max_val_rec,_ERC20_avg_val_rec,_ERC20_min_val_sent,_ERC20_max_val_sent,_ERC20_avg_val_sent,_ERC20_min_val_sent_contract,_ERC20_max_val_sent_contract,_ERC20_avg_val_sent_contract,_ERC20_uniq_sent_token_name,_ERC20_uniq_rec_token_name,_ERC20_most_sent_token_type,_ERC20_most_rec_token_type,FLAG
count,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0,9841.0
mean,0.0,2.599282439524805e-17,-1.1552366397888022e-17,-3.4657099193664066e-17,1.1552366397888022e-17,-1.444045799736003e-17,-1.4440457997360028e-18,-2.8880915994720055e-18,0.0,7.220228998680015e-18,5.776183198944011e-18,2.8880915994720055e-18,-1.2635400747690025e-18,1.4440457997360028e-18,1.1552366397888022e-17,1.010832059815202e-17,3.610114499340007e-19,-5.776183198944011e-18,5.776183198944011e-18,-1.4440457997360028e-18,2.166068699604004e-18,-7.220228998680014e-19,1.083034349802002e-18,-7.220228998680015e-18,-1.8050572496700037e-18,4.332137399208008e-18,-5.776183198944011e-18,9.386297698284018e-18,-1.444045799736003e-17,-1.588450379709603e-17,2.888091599472006e-17,0.0,0.0,0.0,0.0,-1.1552366397888022e-17,4.332137399208008e-18,5.776183198944011e-18,1.4440457997360028e-18,2.8880915994720055e-18,5.776183198944011e-18,0.0,0.0,0.0,-1.534298662219503e-17,5.05416029907601e-17,0.0,0.0,0.22142058733868508
std,1.0000508117172147,1.0000508117172149,1.0000508117172147,1.0000508117172149,1.0000508117172147,1.0000508117172147,1.000050811717215,1.0000508117172147,1.0000508117172147,1.0000508117172147,1.0000508117172149,1.0000508117172144,1.0000508117172147,1.0000508117172147,1.0000508117172147,1.0000508117172149,1.0000508117172149,1.0000508117172144,1.0000508117172144,1.0000508117172147,1.0000508117172147,1.0000508117172147,1.0000508117172149,1.0000508117172147,1.0000508117172147,1.000050811717215,1.0000508117172147,1.0000508117172149,1.0000508117172147,1.0000508117172147,1.0000508117172147,0.0,0.0,0.0,0.0,1.0000508117172147,1.000050811717215,1.0000508117172147,1.0000508117172149,1.0000508117172149,1.0000508117172147,0.0,0.0,0.0,1.0000508117172147,1.0000508117172147,0.0,0.0,0.41522407264874794
min,-1.731874812973334,-0.23675914466599288,-0.3468224953425046,-0.6761186411888137,-0.15310825266835965,-0.17400393609759063,-0.026369800312643746,-0.10167560287205799,-0.09795099442866505,-0.13453041172348,-0.04021725267322133,-0.03491048895105054,-0.03463202114446468,-0.04746163688296264,-0.18720915618737546,-0.013525594352095785,-0.014978491755865487,-0.016656647991140527,-0.20953558029587901,-0.028358346551383938,-0.03195704958849954,-0.014978510779808269,-64.381129089318,-0.08466186515827195,-0.01285361027555589,-0.012278260942156574,-0.01891709406149266,-0.05597946116864888,-0.09705360028539808,-0.05471701162886276,-0.29702666920933285,0.0,0.0,0.0,0.0,-0.030058558170008395,-0.01242182096867572,-0.021212284237614974,-0.011646234124617745,-0.011545911318311654,-0.011163543241558148,0.0,0.0,0.0,-0.2148898581084402,-0.3024276229076124,0.0,0.0,0.0
25%,-0.865937406486667,-0.23675914466599288,-0.3468224953425046,-0.6751371952869996,-0.15178757649575197,-0.1729409982136948,-0.026369800312643746,-0.09832670766463612,-0.09416034452413566,-0.13452734341601497,-0.04014037785341131,-0.03476250754348164,-0.03463202114446468,-0.047436809596327977,-0.1868486563481032,-0.013525594352095785,-0.014978491755865487,-0.016656647991140527,-0.20657773396581977,-0.028357715228175536,-0.03194971701109703,-0.014978510779808269,-0.006094532966311911,-0.08466186515827195,-0.01285361027555589,-0.012278260942156574,-0.01891709406149266,-0.05597946116864888,-0.09705360028539808,-0.05471701162886276,-0.29702666920933285,0.0,0.0,0.0,0.0,-0.030058558170008395,-0.01242182096867572,-0.021212284237614974,-0.011646234124617745,-0.011545911318311654,-0.011163543241558148,0.0,0.0,0.0,-0.2148898581084402,-0.3024276229076124,0.0,0.0,0.0
50%,0.0,-0.2359520871767243,-0.3247359256623526,-0.5316964597409019,-0.14914622415053663,-0.1697521845620073,-0.026369800312643746,-0.09497781245721425,-0.09036969461960627,-0.1342362960431121,-0.03975600375436123,-0.03431089915914332,-0.034277583448463086,-0.04670745470528542,-0.18049140414672715,-0.013525594352095785,-0.014978491755865487,-0.016656647991140527,-0.20361988763576053,-0.028323496864014322,-0.031873219865301214,-0.014978510779808269,-0.006094528426499602,-0.08232672997633196,-0.012853610202569617,-0.012278260942156574,-0.01891709406149266,-0.05597946116864888,-0.08428092810203981,-0.05471701162886276,-0.23643258321434668,0.0,0.0,0.0,0.0,-0.030058558170008395,-0.012421820915553971,-0.021212282123064773,-0.011646234124617745,-0.011545911318311654,-0.011163543241558148,0.0,0.0,0.0,-0.2148898581084402,-0.23977008146562875,0.0,0.0,0.0
75%,0.865937406486667,-0.21044041349778664,-0.10937616541055908,0.26550637752709466,-0.1385808147696753,-0.1453046132324032,-0.026369800312643746,-0.08493112683494862,-0.08657904471507687,-0.12839379679342058,-0.03506148605803019,-0.027284457476798103,-0.027425809143357537,-0.03818093006498428,-0.09518774903420153,-0.013525594352095785,-0.014978491755865487,-0.016656647991140527,-0.1696046548400792,-0.028076466272883287,-0.031679718978209086,-0.014978510779808269,-0.006094351876626527,-0.07065105406663198,-0.012853539199763217,-0.012278260942156574,-0.01891709406149266,-0.05597946116864888,-0.04596291155196501,-0.05471701162886276,-0.05465032522938825,0.0,0.0,0.0,0.0,-0.030026407070088645,-0.012421761464067805,-0.021211561434610962,-0.011646234124617745,-0.011545911318311654,-0.011163543241558148,0.0,0.0,0.0,-0.2148898581084402,-0.05179745713967793,0.0,0.0,0.0
max,1.731874812973334,19.790166265565897,20.544172576839852,5.377553362074202,13.053653473408325,10.455374902860717,70.64043825174946,33.38392757613927,35.1058146689358,30.548544238573545,61.45963859533957,98.2780957143354,86.54380611790812,78.39721198107667,50.007700238444976,88.72339041829765,89.22502487247934,71.14210385449972,14.57599876208778,79.73887999631324,78.4487342096673,89.22491863531116,58.9372378933875,23.269025089423636,99.15240318177841,99.14523396808117,70.9164299717923,65.29597492712828,54.73602808287164,47.665577388304484,47.087548578869836,0.0,0.0,0.0,0.0,61.24892115298824,99.1619247028237,84.1299823378389,99.17904373786743,99.1867127929932,99.19224281763033,0.0,0.0,0.0,32.83479498054271,45.87618041983431,0.0,0.0,1.0
