,Unnamed__0,Avg_min_between_sent_tnx,Avg_min_between_received_tnx,Time_Diff_between_first_and_last__Mins_,Sent_tnx,Received_Tnx,Number_of_Created_Contracts,Unique_Received_From_Addresses,Unique_Sent_To_Addresses,min_value_received,max_value_received_,avg_val_received,min_val_sent,max_val_sent,avg_val_sent,min_value_sent_to_contract,max_val_sent_to_contract,avg_value_sent_to_contract,total_transactions__including_tnx_to_create_contract,total_Ether_sent,total_ether_received,total_ether_sent_contracts,total_ether_balance,_Total_ERC20_tnxs,_ERC20_total_Ether_received,_ERC20_total_ether_sent,_ERC20_total_Ether_sent_contract,_ERC20_uniq_sent_addr,_ERC20_uniq_rec_addr,_ERC20_uniq_sent_addr_1,_ERC20_uniq_rec_contract_addr,_ERC20_avg_time_between_sent_tnx,_ERC20_avg_time_between_rec_tnx,_ERC20_avg_time_between_rec_2_tnx,_ERC20_avg_time_between_contract_tnx,_ERC20_min_val_rec,_ERC20_max_val_rec,_ERC20_avg_val_rec,_ERC20_min_val_sent,_ERC20_max_val_sent,_ERC20_avg_val_sent,_ERC20_min_val_sent_contract,_ERC20_max_val_sent_contract,_ERC20_avg_val_sent_contract,_ERC20_uniq_sent_token_name,_ERC20_uniq_rec_token_name,_ERC20_most_sent_token_type,_ERC20_most_rec_token_type,FLAG
count,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0
mean,-0.22331839044415724,0.05637696615700277,0.10745214347815353,0.17603542948160858,0.025752452606647755,0.013070820733545367,-0.025104334131084895,-0.020392092022350972,0.014158849921670179,0.029073875859499568,-0.021324787395351673,-0.004219000329622203,-0.021979249764990137,-0.018977980996263147,-0.0029029788303115,-0.013525594352095787,0.04968817734865276,0.03490767121356299,0.020886543074727325,-0.016381357749928792,-0.006644033816013629,0.04968808135504022,0.0142312783618142,0.0017212153040735737,-0.010953975424474011,-0.011271184124246273,-0.018433342870434244,-0.007889097998631321,0.014559192366136217,-0.043190370469458575,0.014286424779400321,0.0,0.0,0.0,0.0,0.01794219700937229,-0.010798777706866075,-0.00973977794856542,-0.010368003105305267,-0.011043459207907575,-0.01112984852302718,0.0,0.0,0.0,0.014931043470803713,0.014265385467630882,0.0,0.0,0.0
std,0.6880703255185483,1.2423230938570082,1.2358121606532841,1.0881221836592787,1.077233757174061,1.0011784320552173,0.004564627732451389,1.034623502840732,1.0453980403848138,1.0357009655941323,0.13358931607161975,0.15931487057709717,0.05260381714850186,0.2005401897898716,0.573690450731166,1.7353523407703396e-18,2.4022601375457016,1.915529441371625,0.9891492942606188,0.3172042773761746,0.6218323817219831,2.402257278249376,0.8441377025562805,1.061439176749498,0.030746558155966528,0.013966687737587859,0.017970559159180527,0.7019611457573028,1.560316575378993,0.4281957144301957,1.4958462337633867,0.0,0.0,0.0,0.0,1.6504686259689545,0.02895206136099688,0.19325162063665052,0.029905232715322208,0.008380882219451415,0.0005299955692282326,0.0,0.0,0.0,1.2059937487107635,1.4761658043233534,0.0,0.0,0.0
min,-1.4615333787531062,-0.23675914466599288,-0.3468224953425046,-0.6761186411888137,-0.15310825266835965,-0.17400393609759063,-0.026369800312643746,-0.10167560287205799,-0.09795099442866505,-0.13453041172348,-0.04021725267322133,-0.03491048895105054,-0.03463202114446468,-0.04746163688296264,-0.18720915618737546,-0.013525594352095785,-0.014978491755865487,-0.016656647991140527,-0.2087961187133642,-0.028358346551383938,-0.03195704958849954,-0.014978510779808269,-2.2370210746849057,-0.08466186515827195,-0.01285361027555589,-0.012278260942156574,-0.01891709406149266,-0.05597946116864888,-0.09705360028539808,-0.05471701162886276,-0.29702666920933285,0.0,0.0,0.0,0.0,-0.030058558170008395,-0.01242182096867572,-0.021212284237614974,-0.011646234124617745,-0.011545911318311654,-0.011163543241558148,0.0,0.0,0.0,-0.2148898581084402,-0.3024276229076124,0.0,0.0,0.0
25%,-0.7962400054767644,-0.23675914466599288,-0.3468224953425046,-0.67511979167747,-0.15178757649575197,-0.17187806032979897,-0.026369800312643746,-0.09832670766463612,-0.09416034452413566,-0.1345125411337268,-0.04011078074028517,-0.03466657024768713,-0.03463202114446468,-0.04738353125627537,-0.18643208565785532,-0.013525594352095785,-0.014978491755865487,-0.016656647991140527,-0.20657773396581977,-0.028355553623907105,-0.03193559891816715,-0.014978510779808269,-0.00609453146999017,-0.08466186515827195,-0.01285361027555589,-0.012278260942156574,-0.01891709406149266,-0.05597946116864888,-0.09705360028539808,-0.05471701162886276,-0.29702666920933285,0.0,0.0,0.0,0.0,-0.030058558170008395,-0.01242182096867572,-0.021212284237614974,-0.011646234124617745,-0.011545911318311654,-0.011163543241558148,0.0,0.0,0.0,-0.2148898581084402,-0.3024276229076124,0.0,0.0,0.0
50%,-0.2441169070725624,-0.23570052167906014,-0.2797538798227965,-0.2695964589604196,-0.14914622415053663,-0.16868924667811147,-0.026369800312643746,-0.09497781245721425,-0.09036969461960627,-0.13401849070355323,-0.039294754835501135,-0.033645931572726245,-0.03427127765221863,-0.046201281850022466,-0.1788478722284187,-0.013525594352095785,-0.014978491755865487,-0.016656647991140527,-0.2014015028882161,-0.02827656275487924,-0.03175601914091883,-0.014978510779808269,-0.006094524495270315,-0.08466186515827195,-0.01285361027555589,-0.012278260942156574,-0.01891709406149266,-0.05597946116864888,-0.09705360028539808,-0.05471701162886276,-0.29702666920933285,0.0,0.0,0.0,0.0,-0.030058558170008395,-0.01242182096867572,-0.021212284237614974,-0.011646234124617745,-0.011545911318311654,-0.011163543241558148,0.0,0.0,0.0,-0.2148898581084402,-0.3024276229076124,0.0,0.0,0.0
75%,0.37374351273870676,-0.20266480555078956,-0.00142430293739365,0.6185112217610954,-0.13197743390663694,-0.12936054497396574,-0.026369800312643746,-0.0882800220423705,-0.08657904471507687,-0.10777975125851358,-0.03332774252635268,-0.01740528033969835,-0.027920639187953986,-0.035084975326451655,-0.04638671462727608,-0.013525594352095785,-0.014978491755865487,-0.016656647991140527,-0.14224457628703116,-0.028076466155664555,-0.03161868636757797,-0.014978510779808269,-0.006094020003265766,-0.07765645961245198,-0.01285360064358426,-0.012278260942156574,-0.01891709406149266,-0.05597946116864888,-0.07150825591868154,-0.05471701162886276,-0.17583849721936054,0.0,0.0,0.0,0.0,-0.030058558170008395,-0.012421813231681109,-0.021212207368986817,-0.011646234124617745,-0.011545911318311654,-0.011163543241558148,0.0,0.0,0.0,-0.2148898581084402,-0.17711254002364515,0.0,0.0,0.0
max,0.9623873452579461,17.352505901821715,14.743304045512508,5.064697158595558,13.048370768717893,10.45431196497682,0.10796430203744929,32.96866457041896,24.783874978902265,30.548544238573545,3.8035237378275784,4.458884544259626,1.0475950501751259,6.741019733902006,4.543423607237833,-0.013525594352095785,89.22502487247934,71.14210385449972,7.1872986295997805,11.694416852915115,20.76798330205689,89.22491863531116,31.24243321943962,23.269025089423636,0.9788893833449902,0.39153209179659665,0.6486595495991266,19.940805123764505,54.352847917370894,15.85204778834892,47.087548578869836,0.0,0.0,0.0,0.0,61.24892115298824,0.979321644269248,3.7686883524467105,0.9703415965981035,0.2541637102110942,0.004768729168934463,0.0,0.0,0.0,32.83479498054271,45.87618041983431,0.0,0.0,0.0
