,Unnamed__0,Avg_min_between_sent_tnx,Avg_min_between_received_tnx,Time_Diff_between_first_and_last__Mins_,Sent_tnx,Received_Tnx,Number_of_Created_Contracts,Unique_Received_From_Addresses,Unique_Sent_To_Addresses,min_value_received,max_value_received_,avg_val_received,min_val_sent,max_val_sent,avg_val_sent,min_value_sent_to_contract,max_val_sent_to_contract,avg_value_sent_to_contract,total_transactions__including_tnx_to_create_contract,total_Ether_sent,total_ether_received,total_ether_sent_contracts,total_ether_balance,_Total_ERC20_tnxs,_ERC20_total_Ether_received,_ERC20_total_ether_sent,_ERC20_total_Ether_sent_contract,_ERC20_uniq_sent_addr,_ERC20_uniq_rec_addr,_ERC20_uniq_sent_addr_1,_ERC20_uniq_rec_contract_addr,_ERC20_avg_time_between_sent_tnx,_ERC20_avg_time_between_rec_tnx,_ERC20_avg_time_between_rec_2_tnx,_ERC20_avg_time_between_contract_tnx,_ERC20_min_val_rec,_ERC20_max_val_rec,_ERC20_avg_val_rec,_ERC20_min_val_sent,_ERC20_max_val_sent,_ERC20_avg_val_sent,_ERC20_min_val_sent_contract,_ERC20_max_val_sent_contract,_ERC20_avg_val_sent_contract,_ERC20_uniq_sent_token_name,_ERC20_uniq_rec_token_name,_ERC20_most_sent_token_type,_ERC20_most_rec_token_type,FLAG
count,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0
mean,0.21112472581381322,-0.012321520986799698,0.0852121187250842,0.19250378498928522,0.10170467880948107,0.09677308658460781,0.0083104605746623,0.06865909267050073,0.046127954804034955,0.031140204359799223,-0.02278716101625327,-0.0043221735720288205,-0.019493682476887448,-0.0077347401682549295,0.026292171924675162,-0.013525594352095787,0.11941910367219954,0.09051015999453847,0.12513760460977033,0.0015354147920443558,0.029915073401321313,0.11941892468117207,0.042673075880333214,0.06554640877398879,-0.009143603382999332,-0.011393510347939022,-0.01791170754992323,-0.008832186521679003,-0.00785649047480729,-0.006805069460255002,0.006947578455273858,0.0,0.0,0.0,0.0,-0.028090987599514894,-0.009029853031598901,-0.003214541781374031,-0.010680922559511499,-0.01130882759474684,-0.011113953572316404,0.0,0.0,0.0,0.0003284781690479893,0.008689717655971914,0.0,0.0,0.0
std,0.7307470751247388,0.9773765220962656,1.2300698096959797,1.101713584127447,1.4010904597123746,1.2691826019726538,0.8582151733604357,1.3706406068224641,1.194134624521493,0.9870151121939497,0.07010395917870214,0.13291918490130936,0.06076875196746748,0.2527683877201133,0.8093961077361244,1.7360312209616164e-18,3.4631837762593034,2.7614954686309665,1.2801514881434508,0.6898198524876391,1.0538828636152653,3.463179654195879,1.212975194691984,1.5867184626296222,0.04336032371874065,0.0123855904394066,0.025906998146321684,0.47850552174931404,0.4973827636641091,0.8723385162296894,0.8567708468977934,0.0,0.0,0.0,0.0,0.031188060966822008,0.04193601619952246,0.2356121747736445,0.022870524683205763,0.002927571084188858,0.0008877730290460264,0.0,0.0,0.0,0.8282558366246274,0.869292820097372,0.0,0.0,0.0
min,-1.6417610015665913,-0.23675914466599288,-0.3468224953425046,-0.6761186411888137,-0.15310825266835965,-0.1729409982136948,-0.026369800312643746,-0.09832670766463612,-0.09795099442866505,-0.13453041172348,-0.04021725267322133,-0.03491048895105054,-0.03463202114446468,-0.04746163688296264,-0.18720915618737546,-0.013525594352095785,-0.014978491755865487,-0.016656647991140527,-0.2087961187133642,-0.028358346551383938,-0.03195704958849954,-0.014978510779808269,-0.09533519262794786,-0.08466186515827195,-0.01285361027555589,-0.012278260942156574,-0.01891709406149266,-0.05597946116864888,-0.09705360028539808,-0.05471701162886276,-0.29702666920933285,0.0,0.0,0.0,0.0,-0.030058558170008395,-0.01242182096867572,-0.021212284237614974,-0.011646234124617745,-0.011545911318311654,-0.011163543241558148,0.0,0.0,0.0,-0.2148898581084402,-0.3024276229076124,0.0,0.0,0.0
25%,0.10586612804913215,-0.23675914466599288,-0.34681913753574817,-0.6751174149389799,-0.15178757649575197,-0.17187806032979897,-0.026369800312643746,-0.09832670766463612,-0.09416034452413566,-0.13450586526375974,-0.040136685709565474,-0.03472435164825415,-0.03463202114446468,-0.047386067319774135,-0.18650847289840844,-0.013525594352095785,-0.014978491755865487,-0.016656647991140527,-0.20657773396581977,-0.028355571029251316,-0.03193693885578274,-0.014978510779808269,-0.00609453146999017,-0.08466186515827195,-0.01285361027555589,-0.012278260942156574,-0.01891709406149266,-0.05597946116864888,-0.09705360028539808,-0.05471701162886276,-0.29702666920933285,0.0,0.0,0.0,0.0,-0.030058558170008395,-0.01242182096867572,-0.021212284237614974,-0.011646234124617745,-0.011545911318311654,-0.011163543241558148,0.0,0.0,0.0,-0.2148898581084402,-0.3024276229076124,0.0,0.0,0.0
50%,0.3877357940020584,-0.23557276084814655,-0.30134241093953085,-0.2132581878584041,-0.14914622415053663,-0.16815777773616356,-0.026369800312643746,-0.09497781245721425,-0.09036969461960627,-0.13397670495834071,-0.039448523886013165,-0.033871499877876396,-0.0342837846290948,-0.046488075048776736,-0.18002486337844964,-0.013525594352095785,-0.014978491755865487,-0.016656647991140527,-0.19992257972318647,-0.028284547542569705,-0.03177439972182146,-0.014978510779808269,-0.006094526258196865,-0.08466186515827195,-0.01285361027555589,-0.012278260942156574,-0.01891709406149266,-0.05597946116864888,-0.09705360028539808,-0.05471701162886276,-0.29702666920933285,0.0,0.0,0.0,0.0,-0.030058558170008395,-0.01242182096867572,-0.021212284237614974,-0.011646234124617745,-0.011545911318311654,-0.011163543241558148,0.0,0.0,0.0,-0.2148898581084402,-0.3024276229076124,0.0,0.0,0.0
75%,0.6967100047921688,-0.21192513863663714,-0.07204082040245638,0.6185224086898188,-0.13164726486348502,-0.12165424531572097,-0.026369800312643746,-0.08493112683494862,-0.08278839481054748,-0.11666834572841858,-0.03359477313232389,-0.01740528033969835,-0.027495281125094282,-0.034446037274772565,-0.04638671462727608,-0.013525594352095785,-0.014978491755865487,-0.016656647991140527,-0.12930399859302197,-0.028076466155664555,-0.03165386357693781,-0.014978510779808269,-0.006094134963727361,-0.07707267581696697,-0.012853601416699573,-0.012278260942156574,-0.01891709406149266,-0.05597946116864888,-0.05873558373532328,-0.05471701162886276,-0.1152444112243744,0.0,0.0,0.0,0.0,-0.030058558170008395,-0.012421812869020582,-0.021212168470260848,-0.011646234124617745,-0.011545911318311654,-0.011163543241558148,0.0,0.0,0.0,-0.2148898581084402,-0.11445499858166154,0.0,0.0,0.0
max,0.9648513947885993,12.131038031013626,13.274254057747475,4.594355227974989,13.0496914448905,10.45431196497682,22.08926557606057,20.96287525181154,21.01596897380005,19.29711177798954,0.6433678881365561,2.1603524254507667,0.7247370631457188,4.31279123002826,10.162433639097047,-0.013525594352095785,89.22502487247934,71.14210385449972,9.498116074958567,17.74232331153256,20.76798330205689,89.22491863531116,31.24243321943962,23.266689954241695,0.9788893833449902,0.2762879842067012,0.6486595495991266,8.39350598162088,8.971543649898972,15.85204778834892,10.912879239863106,0.0,0.0,0.0,0.0,0.6368919533327493,0.979321644269248,3.7686883524467105,0.577546464309015,0.05347962170350413,0.011455775073643976,0.0,0.0,0.0,9.560369037830633,11.101244919533405,0.0,0.0,0.0
