,Unnamed__0,Avg_min_between_sent_tnx,Avg_min_between_received_tnx,Time_Diff_between_first_and_last__Mins_,Sent_tnx,Received_Tnx,Number_of_Created_Contracts,Unique_Received_From_Addresses,Unique_Sent_To_Addresses,min_value_received,max_value_received_,avg_val_received,min_val_sent,max_val_sent,avg_val_sent,min_value_sent_to_contract,max_val_sent_to_contract,avg_value_sent_to_contract,total_transactions__including_tnx_to_create_contract,total_Ether_sent,total_ether_received,total_ether_sent_contracts,total_ether_balance,_Total_ERC20_tnxs,_ERC20_total_Ether_received,_ERC20_total_ether_sent,_ERC20_total_Ether_sent_contract,_ERC20_uniq_sent_addr,_ERC20_uniq_rec_addr,_ERC20_uniq_sent_addr_1,_ERC20_uniq_rec_contract_addr,_ERC20_avg_time_between_sent_tnx,_ERC20_avg_time_between_rec_tnx,_ERC20_avg_time_between_rec_2_tnx,_ERC20_avg_time_between_contract_tnx,_ERC20_min_val_rec,_ERC20_max_val_rec,_ERC20_avg_val_rec,_ERC20_min_val_sent,_ERC20_max_val_sent,_ERC20_avg_val_sent,_ERC20_min_val_sent_contract,_ERC20_max_val_sent_contract,_ERC20_avg_val_sent_contract,_ERC20_uniq_sent_token_name,_ERC20_uniq_rec_token_name,_ERC20_most_sent_token_type,_ERC20_most_rec_token_type,FLAG
count,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0
mean,-0.8947999201251446,0.06220307779102804,0.013293734372605384,0.1349980705284425,0.06602578123195149,0.07459872193749023,0.027569997608031686,0.030753214068008204,-0.01070299276110645,-0.013511575827870754,-0.00972223662550586,-0.00946889470256986,-0.019248557672027142,0.033592077915429744,-0.004574047502198366,-0.013525594352095782,-0.01497849175586549,-0.016656647991140527,0.09174870778704665,-0.015233400922791603,-0.007331224119763934,-0.01497851077980827,0.011502121696308647,0.005930869507813103,-0.011392278104641806,-0.010748531024300576,-0.01891709125845736,0.022985331810019365,0.054456287071600225,-0.008023964270806667,-0.01688277847908869,0.0,0.0,0.0,0.0,-0.027529686185170144,-0.011445272944688315,-0.016568471591183524,-0.011587270675732167,-0.010482793600801352,-0.010284265941203165,0.0,0.0,0.0,-0.023593206524505316,-0.017158013974589145,0.0,0.0,0.0
std,0.5011168662340424,1.2487447376570977,0.8985513397107823,1.0768619256172645,1.1477971785745809,1.206031476476455,1.4505216102920675,1.160190563437045,0.7019060744475677,0.5437846976324024,0.5332481092532888,0.10276750815454198,0.09666934845773918,1.286819908761484,0.5676271726261144,3.471145579694037e-18,3.471145579694037e-18,0.0,1.191228983220235,0.2059243779874208,0.5898674256896186,1.7355727898470184e-18,0.9182950926055021,1.0890997523055415,0.02260903757581245,0.029335570726166486,8.960932385030691e-08,1.1521812215062355,1.9193412953166815,0.8609764251938316,0.7228532264956908,0.0,0.0,0.0,0.0,0.034345399591829334,0.013431582024858888,0.12032764956285079,0.0007181812186735428,0.02779293689850638,0.027633995075001624,0.0,0.0,0.0,0.751475263702765,0.728547176384561,0.0,0.0,0.0
min,-1.731874812973334,-0.23675914466599288,-0.3468224953425046,-0.6761186411888137,-0.15310825266835965,-0.17400393609759063,-0.026369800312643746,-0.10167560287205799,-0.09795099442866505,-0.13453041172348,-0.04021725267322133,-0.03491048895105054,-0.03463202114446468,-0.04746163688296264,-0.18720915618737546,-0.013525594352095785,-0.014978491755865487,-0.016656647991140527,-0.2087961187133642,-0.028358346551383938,-0.03195704958849954,-0.014978510779808269,-8.171617625872859,-0.08466186515827195,-0.01285361027555589,-0.012278260942156574,-0.01891709406149266,-0.05597946116864888,-0.09705360028539808,-0.05471701162886276,-0.29702666920933285,0.0,0.0,0.0,0.0,-0.030058558170008395,-0.01242182096867572,-0.021212284237614974,-0.011646234124617745,-0.011545911318311654,-0.011163543241558148,0.0,0.0,0.0,-0.2148898581084402,-0.3024276229076124,0.0,0.0,0.0
25%,-1.3407949517511033,-0.23675914466599288,-0.3468224953425046,-0.6751179955754188,-0.15178757649575197,-0.17187806032979897,-0.026369800312643746,-0.09832670766463612,-0.09416034452413566,-0.13451507018615483,-0.04012609583798125,-0.03466591839531498,-0.03463202114446468,-0.04739463419469514,-0.18652031366838917,-0.013525594352095785,-0.014978491755865487,-0.016656647991140527,-0.20657773396581977,-0.028356158794460833,-0.03193412944434817,-0.014978510779808269,-0.00609453146999017,-0.08466186515827195,-0.01285361027555589,-0.012278260942156574,-0.01891709406149266,-0.05597946116864888,-0.09705360028539808,-0.05471701162886276,-0.29702666920933285,0.0,0.0,0.0,0.0,-0.030058558170008395,-0.01242182096867572,-0.021212284237614974,-0.011646234124617745,-0.011545911318311654,-0.011163543241558148,0.0,0.0,0.0,-0.2148898581084402,-0.3024276229076124,0.0,0.0,0.0
50%,-0.8668174241761859,-0.23569796180813107,-0.2872242416413653,-0.28415640540120446,-0.14914622415053663,-0.16868924667811147,-0.026369800312643746,-0.09497781245721425,-0.09036969461960627,-0.1340410673098809,-0.039338864838359924,-0.03367605647687631,-0.03427127765221863,-0.046160344818246796,-0.17865316617487692,-0.013525594352095785,-0.014978491755865487,-0.016656647991140527,-0.2014015028882161,-0.02827273809485141,-0.03178392527872345,-0.014978510779808269,-0.0060945264546590164,-0.08466186515827195,-0.01285361027555589,-0.012278260942156574,-0.01891709406149266,-0.05597946116864888,-0.09705360028539808,-0.05471701162886276,-0.29702666920933285,0.0,0.0,0.0,0.0,-0.030058558170008395,-0.01242182096867572,-0.021212284237614974,-0.011646234124617745,-0.011545911318311654,-0.011163543241558148,0.0,0.0,0.0,-0.2148898581084402,-0.3024276229076124,0.0,0.0,0.0
75%,-0.48101766909106924,-0.21311931842504014,-0.030038232319299887,0.5064203094693694,-0.13197743390663694,-0.1282976070900699,-0.026369800312643746,-0.08493112683494862,-0.08657904471507687,-0.11439739702309557,-0.03360637642543897,-0.01740528033969835,-0.02846360864787321,-0.03488325899675947,-0.04638671462727608,-0.013525594352095785,-0.014978491755865487,-0.016656647991140527,-0.14242944168265986,-0.028076466155664555,-0.03164377233031045,-0.014978510779808269,-0.006093637261050466,-0.07532132443051197,-0.012853589880625795,-0.012278260942156574,-0.01891709406149266,-0.05597946116864888,-0.05873558373532328,-0.05471701162886276,-0.1152444112243744,0.0,0.0,0.0,0.0,-0.030058558170008395,-0.01242180556244985,-0.021212108272006966,-0.011646234124617745,-0.011545911318311654,-0.011163543241558148,0.0,0.0,0.0,-0.2148898581084402,-0.11445499858166154,0.0,0.0,0.0
max,-0.02569651653395394,17.352505901821715,11.11257085656012,5.279973831791509,13.052332797235717,10.45431196497682,45.597733487326856,16.133768362709194,12.657585934312738,12.378465701569338,16.8722431055303,1.7334968823692332,2.6040976223817913,30.802414814795394,4.259634263735204,-0.013525594352095785,-0.014978491755865487,-0.016656647991140527,11.956825836820315,5.496148824258372,18.68592859995987,-0.014978510779808269,28.114484626995832,23.266689954241695,0.5821280695816853,0.8730655239087642,-0.018914229364784232,32.38170437149104,54.73602808287164,15.85204778834892,6.9742636501890045,0.0,0.0,0.0,0.0,0.594120463453547,0.2851012186027014,3.768687478810845,0.007518399084870839,0.8741616841004255,0.8722621722304102,0.0,0.0,0.0,8.163903481267909,6.527244394268601,0.0,0.0,0.0
